Trait,Indicator,H2r,pvalue
VOXEL_44_109_134,117.354,0.173702,0.0843831
VOXEL_44_109_135,108.944,0.025779,0.405919
VOXEL_44_110_63,120.557,0.164616,0.118976
VOXEL_44_110_64,107.875,0.00604903,0.465707
VOXEL_44_110_70,107.885,0.00699939,0.461308
VOXEL_44_110_71,114.151,0.141379,0.159768
VOXEL_44_110_82,125.855,0.257707,0.010198
VOXEL_44_110_105,115.867,0.173704,0.15077
VOXEL_44_110_106,114.203,0.116662,0.205559
VOXEL_44_110_110,131.808,0.498398,0.00059988
VOXEL_44_110_111,128.226,0.390603,0.00079984
VOXEL_44_110_112,121.474,0.261309,0.0275945
VOXEL_44_110_113,124.325,0.274201,0.00619876
VOXEL_44_110_128,138.114,0.477549,0.00019996
VOXEL_44_110_129,137.333,0.438152,0.00019996
VOXEL_44_110_130,136.013,0.425156,0.00059988
VOXEL_44_110_131,138.329,0.481969,0.00019996
VOXEL_44_110_132,132.737,0.46588,0.00059988
VOXEL_44_110_134,114.067,0.130769,0.165167
VOXEL_44_110_137,109.837,0.0409637,0.370126
VOXEL_44_111_82,128.245,0.307298,0.0129974
VOXEL_44_111_105,112.79,0.103282,0.265947
VOXEL_44_111_109,136.772,0.624881,0.00019996
VOXEL_44_111_110,132.701,0.519867,0.00019996
VOXEL_44_111_111,123.062,0.345524,0.0233953
VOXEL_44_111_128,135.12,0.365582,0.00019996
VOXEL_44_111_129,133.588,0.378319,0.00039992
VOXEL_44_111_131,138.016,0.450734,0.00059988
VOXEL_44_111_135,118.587,0.155897,0.0619876
VOXEL_44_112_81,127.21,0.384709,0.0139972
VOXEL_44_112_82,125.236,0.338846,0.0273945
VOXEL_44_112_107,124.888,0.418017,0.0273945
VOXEL_44_112_108,137.837,0.70314,0.00019996
VOXEL_44_112_109,137.029,0.652223,0.00019996
VOXEL_44_112_110,137.844,0.657507,0.00039992
VOXEL_44_112_127,132.57,0.383918,0.00039992
VOXEL_44_112_128,134.577,0.403099,0.00019996
VOXEL_44_112_134,120.552,0.206157,0.0507898
VOXEL_44_112_135,111.319,0.0666201,0.297341
VOXEL_44_113_76,112.789,0.0931933,0.232553
VOXEL_44_113_80,123.875,0.314545,0.0543891
VOXEL_44_113_81,126.379,0.381428,0.0303939
VOXEL_44_113_106,115.642,0.165986,0.105379
VOXEL_44_113_107,126.434,0.4408,0.00859828
VOXEL_44_113_108,131.319,0.580145,0.00239952
VOXEL_44_113_109,142.834,0.69497,0.00019996
VOXEL_44_113_127,128.562,0.365243,0.00119976
VOXEL_44_113_128,129.51,0.325794,0.00059988
VOXEL_44_113_134,114.087,0.117927,0.183963
