Trait,Indicator,H2r,pvalue
VOXEL_45_86_99,116.047,0.167011,0.0987802
VOXEL_45_86_128,115.4,0.12707,0.216157
VOXEL_45_86_129,110.205,0.0105474,0.383523
VOXEL_45_87_95,111.598,0.0805288,0.290142
VOXEL_45_87_98,110.331,0.0567477,0.317337
VOXEL_45_88_128,107.766,0.00407202,0.471306
VOXEL_45_88_137,111.392,0.0729967,0.310938
VOXEL_45_88_140,117.383,0.121834,0.070186
VOXEL_45_89_93,108.554,0.0190067,0.414517
VOXEL_45_89_128,110.719,0.0678817,0.368926
VOXEL_45_89_129,108.449,0.0228114,0.443911
VOXEL_45_89_136,115.679,0.161718,0.193761
VOXEL_45_89_137,112.669,0.101018,0.263147
VOXEL_45_90_91,112.089,0.0842049,0.25075
VOXEL_45_90_92,110.147,0.0412275,0.332334
VOXEL_45_90_93,113.279,0.0958323,0.179164
VOXEL_45_90_127,121.147,0.364134,0.0937812
VOXEL_45_90_128,119.199,0.301727,0.122176
VOXEL_45_90_129,110.829,0.0894607,0.356129
VOXEL_45_90_141,115.59,0.111266,0.162368
VOXEL_45_91_90,113.834,0.0952422,0.240752
VOXEL_45_91_91,110.639,0.0470809,0.336533
VOXEL_45_91_127,121.407,0.375757,0.0861828
VOXEL_45_91_128,119.653,0.340703,0.121576
VOXEL_45_91_129,112.319,0.119032,0.295741
VOXEL_45_91_141,114.466,0.12895,0.177165
VOXEL_45_92_89,112.497,0.0679981,0.275345
VOXEL_45_92_90,111.205,0.055033,0.337532
VOXEL_45_92_127,118.173,0.280879,0.170566
VOXEL_45_92_128,113.448,0.15141,0.270146
VOXEL_45_92_129,108.689,0.0268756,0.433913
VOXEL_45_93_80,119.049,0.167392,0.055189
VOXEL_45_93_81,123.725,0.256641,0.014797
VOXEL_45_93_88,114.214,0.141206,0.175765
VOXEL_45_93_89,108.378,0.0150659,0.441512
VOXEL_45_94_69,129.293,0.361249,0.00339932
VOXEL_45_94_70,131.537,0.436875,0.00079984
VOXEL_45_94_71,119.709,0.202555,0.04999
VOXEL_45_94_72,117.855,0.201373,0.120376
VOXEL_45_94_73,119.839,0.272613,0.0919816
VOXEL_45_94_80,117.762,0.155172,0.0763847
VOXEL_45_94_81,120.595,0.236638,0.0419916
VOXEL_45_94_82,119.108,0.289637,0.0675865
VOXEL_45_94_83,123.455,0.447746,0.0311938
VOXEL_45_94_84,117.505,0.261319,0.135973
VOXEL_45_94_87,107.354,0,1
VOXEL_45_94_88,108.752,0.023066,0.414517
VOXEL_45_94_134,113.703,0.124697,0.202759
VOXEL_45_94_141,119.525,0.27555,0.0553889
VOXEL_45_95_69,123.559,0.253556,0.0217956
VOXEL_45_95_70,117.229,0.166021,0.0959808
VOXEL_45_95_71,122.09,0.246785,0.0217956
VOXEL_45_95_72,112.493,0.0944757,0.289742
VOXEL_45_95_73,119.319,0.234956,0.111378
VOXEL_45_95_74,111.435,0.0756173,0.336533
VOXEL_45_95_126,109.434,0.0439097,0.387123
VOXEL_45_96_125,117.77,0.264196,0.0569886
VOXEL_45_96_127,110.935,0.077205,0.339932
VOXEL_45_96_133,128.945,0.438972,0.00739852
VOXEL_45_97_124,113.55,0.114596,0.228354
VOXEL_45_98_124,110.707,0.0619551,0.345131
VOXEL_45_98_125,115.13,0.166396,0.176565
VOXEL_45_98_142,108.39,0.0161737,0.433913
VOXEL_45_99_85,110.016,0.0570292,0.371526
VOXEL_45_99_86,108.898,0.0299274,0.419716
VOXEL_45_99_123,113.88,0.124765,0.172166
VOXEL_45_99_124,110.113,0.0472693,0.357728
VOXEL_45_99_125,131.347,0.467958,0.0019996
VOXEL_45_99_139,108.937,0.0239159,0.40192
VOXEL_45_99_142,108.393,0.0143168,0.439112
VOXEL_45_100_85,115.049,0.171344,0.223355
VOXEL_45_100_86,111.294,0.0928369,0.328534
VOXEL_45_100_122,113.923,0.131925,0.167566
VOXEL_45_100_123,113.1,0.109897,0.196161
VOXEL_45_100_124,127.955,0.410213,0.00359928
VOXEL_45_100_138,112.69,0.065577,0.267546
VOXEL_45_100_139,114.165,0.10435,0.208958
VOXEL_45_100_140,113.55,0.10067,0.206959
VOXEL_45_101_84,116.507,0.172669,0.15217
VOXEL_45_101_85,110.098,0.0566278,0.369726
VOXEL_45_101_121,114.89,0.149052,0.209958
VOXEL_45_101_122,111.091,0.0713162,0.291542
VOXEL_45_101_123,121.92,0.289754,0.0187962
VOXEL_45_101_138,111.583,0.0650897,0.296141
VOXEL_45_101_139,127.827,0.328196,0.0113977
VOXEL_45_101_140,123.3,0.261088,0.0331934
VOXEL_45_102_84,122.429,0.274537,0.0371926
VOXEL_45_102_85,115.527,0.148073,0.164967
VOXEL_45_102_120,117.694,0.183031,0.0917816
VOXEL_45_102_121,115.144,0.144085,0.164567
VOXEL_45_102_132,120.877,0.274537,0.0279944
VOXEL_45_102_135,116.37,0.189401,0.146771
VOXEL_45_102_136,108.341,0.0195537,0.432314
VOXEL_45_102_137,107.616,0.00247819,0.466707
VOXEL_45_102_138,114.941,0.164807,0.161368
VOXEL_45_103_83,121.047,0.252813,0.0261948
VOXEL_45_103_84,119.412,0.205778,0.054789
VOXEL_45_103_119,117.126,0.194372,0.0753849
VOXEL_45_103_120,118.29,0.190741,0.0755849
VOXEL_45_103_121,118.36,0.213997,0.0607878
VOXEL_45_103_131,117.718,0.214522,0.0667866
VOXEL_45_103_132,119.199,0.269934,0.0445911
VOXEL_45_103_133,120.12,0.242001,0.029994
VOXEL_45_103_134,119.196,0.267055,0.0793841
VOXEL_45_103_135,120.673,0.311865,0.0803839
VOXEL_45_103_136,109.986,0.0581615,0.368726
VOXEL_45_103_137,107.647,0.00324702,0.468106
VOXEL_45_103_138,114.887,0.170687,0.163167
VOXEL_45_104_83,116.67,0.192454,0.135773
VOXEL_45_104_84,113.865,0.116143,0.194361
VOXEL_45_104_118,123.375,0.355759,0.0117976
VOXEL_45_104_119,122.927,0.283366,0.00919816
VOXEL_45_104_120,117.345,0.130229,0.0653869
VOXEL_45_104_130,124.826,0.300968,0.00779844
VOXEL_45_104_131,124.213,0.325354,0.00879824
VOXEL_45_104_132,119.774,0.268276,0.0445911
VOXEL_45_104_133,118.466,0.231087,0.0759848
VOXEL_45_104_134,122.899,0.348747,0.0417916
VOXEL_45_104_135,122.806,0.334945,0.0541892
VOXEL_45_104_136,118.243,0.204897,0.122176
VOXEL_45_104_137,121.981,0.221621,0.040192
VOXEL_45_104_139,112.17,0.103669,0.290742
VOXEL_45_105_82,121.019,0.272219,0.0667866
VOXEL_45_105_83,118.669,0.209115,0.121976
VOXEL_45_105_118,128.606,0.471812,0.00239952
VOXEL_45_105_119,126.188,0.254544,0.00359928
VOXEL_45_105_130,127.579,0.311087,0.00539892
VOXEL_45_105_131,123.66,0.292354,0.0111978
VOXEL_45_105_132,122.752,0.311447,0.0155969
VOXEL_45_105_133,118.748,0.236446,0.0679864
VOXEL_45_105_134,125.288,0.357643,0.0259948
VOXEL_45_105_135,124.644,0.300548,0.0317936
VOXEL_45_105_136,118.368,0.161441,0.0983803
VOXEL_45_105_137,122.035,0.272663,0.0329934
VOXEL_45_105_139,108.783,0.0194474,0.417916
VOXEL_45_106_82,120.025,0.234174,0.055189
VOXEL_45_106_117,133.722,0.515492,0.00139972
VOXEL_45_106_118,132.754,0.428854,0.0009998
VOXEL_45_106_129,131.895,0.353965,0.00359928
VOXEL_45_106_130,129.125,0.291286,0.00679864
VOXEL_45_106_131,129.121,0.325683,0.00739852
VOXEL_45_106_132,126.068,0.306982,0.00779844
VOXEL_45_106_133,121.529,0.285331,0.0373925
VOXEL_45_106_136,118.111,0.217878,0.10158
VOXEL_45_106_137,118.59,0.214707,0.0943811
VOXEL_45_107_81,119.054,0.22146,0.0403919
VOXEL_45_107_82,117.565,0.212863,0.0881824
VOXEL_45_107_115,130.053,0.418425,0.00159968
VOXEL_45_107_116,136.411,0.500775,0.00079984
VOXEL_45_107_117,134.613,0.415938,0.00059988
VOXEL_45_107_129,130.668,0.299173,0.00459908
VOXEL_45_107_130,135.786,0.362891,0.0019996
VOXEL_45_107_131,135.373,0.329409,0.00179964
VOXEL_45_107_136,122.84,0.285174,0.0315937
VOXEL_45_107_137,115.853,0.184847,0.127175
VOXEL_45_108_75,110.788,0.0778902,0.317736
VOXEL_45_108_76,119.377,0.269536,0.0521896
VOXEL_45_108_78,108.559,0.020162,0.434313
VOXEL_45_108_79,110.274,0.0581828,0.353529
VOXEL_45_108_80,107.229,0,1
VOXEL_45_108_81,111.672,0.0864604,0.259548
VOXEL_45_108_114,131.594,0.400012,0.00039992
VOXEL_45_108_115,130.819,0.443622,0.00179964
VOXEL_45_108_116,127.687,0.309208,0.00619876
VOXEL_45_108_128,132.959,0.35602,0.0019996
VOXEL_45_108_129,134.862,0.387412,0.00079984
VOXEL_45_108_130,136.448,0.388346,0.00159968
VOXEL_45_108_136,114.048,0.11937,0.157968
VOXEL_45_109_72,121.807,0.242276,0.0273945
VOXEL_45_109_73,117.435,0.201314,0.0715857
VOXEL_45_109_74,111.333,0.0708631,0.275545
VOXEL_45_109_75,108.067,0.0118599,0.44791
VOXEL_45_109_76,117.699,0.20235,0.095181
VOXEL_45_109_113,126.504,0.333276,0.00559888
VOXEL_45_109_114,125.451,0.315271,0.00859828
VOXEL_45_109_115,121.925,0.218468,0.0229954
VOXEL_45_109_128,138.566,0.472821,0.00039992
VOXEL_45_109_129,139.504,0.457301,0.00019996
VOXEL_45_109_136,115.308,0.12549,0.126175
VOXEL_45_110_62,108.087,0.00735335,0.455909
VOXEL_45_110_65,117.393,0.233895,0.118976
VOXEL_45_110_70,111.984,0.0730937,0.269346
VOXEL_45_110_71,113.158,0.114029,0.197361
VOXEL_45_110_72,111.348,0.0790652,0.277145
VOXEL_45_110_73,119.374,0.252975,0.0423915
VOXEL_45_110_81,113.512,0.106346,0.204759
VOXEL_45_110_82,119.968,0.181207,0.0659868
VOXEL_45_110_112,127.78,0.223744,0.00619876
VOXEL_45_110_113,125.63,0.26822,0.0173965
VOXEL_45_110_114,117.038,0.175729,0.0915817
VOXEL_45_110_127,133.689,0.435479,0.00079984
VOXEL_45_110_128,138.66,0.47604,0.00019996
VOXEL_45_110_129,139.141,0.49647,0.00019996
VOXEL_45_110_136,114.212,0.121372,0.167766
VOXEL_45_111_67,110.327,0.0396541,0.338732
VOXEL_45_111_68,110.762,0.0553281,0.325735
VOXEL_45_111_69,114.908,0.11182,0.143771
VOXEL_45_111_81,118.435,0.131498,0.0943811
VOXEL_45_111_82,119.763,0.209731,0.0965807
VOXEL_45_111_104,128.461,0.243773,0.00539892
VOXEL_45_111_111,131.633,0.410739,0.00159968
VOXEL_45_111_112,117.894,0.178161,0.112178
VOXEL_45_111_113,123.968,0.323348,0.0139972
VOXEL_45_111_127,134.051,0.429236,0.00079984
VOXEL_45_111_128,137.41,0.444356,0.00019996
VOXEL_45_111_135,111.999,0.0702209,0.256149
VOXEL_45_111_136,113.332,0.0955437,0.207159
VOXEL_45_112_81,124.301,0.193611,0.0141972
VOXEL_45_112_105,119.74,0.178749,0.0677864
VOXEL_45_112_109,136.985,0.65167,0.00019996
VOXEL_45_112_110,131.653,0.540846,0.00079984
VOXEL_45_112_111,121.135,0.309679,0.0409918
VOXEL_45_112_112,119.579,0.249349,0.04979
VOXEL_45_112_126,131.687,0.452791,0.0009998
VOXEL_45_112_127,131.757,0.408899,0.00119976
VOXEL_45_112_128,134.95,0.42095,0.00019996
VOXEL_45_112_135,110.854,0.0523836,0.312537
VOXEL_45_113_80,118.871,0.208724,0.132374
VOXEL_45_113_81,125.82,0.318955,0.0441912
VOXEL_45_113_105,111.014,0.0615182,0.29854
VOXEL_45_113_106,113.477,0.105173,0.19776
VOXEL_45_113_108,132.932,0.590677,0.00119976
VOXEL_45_113_109,135.458,0.615584,0.00019996
VOXEL_45_113_110,129.156,0.48853,0.00139972
VOXEL_45_113_126,129.112,0.38178,0.00179964
VOXEL_45_113_127,131.401,0.388301,0.00059988
VOXEL_45_113_135,107.967,0.00781125,0.468306
VOXEL_45_114_80,123.12,0.267822,0.0573885
VOXEL_45_114_106,119.177,0.187903,0.0653869
VOXEL_45_114_107,125.859,0.410685,0.0119976
VOXEL_45_114_108,128.687,0.487221,0.00459908
VOXEL_45_114_109,134.171,0.597246,0.00039992
VOXEL_45_114_126,127.721,0.365097,0.0009998
VOXEL_45_114_127,125.98,0.324143,0.00279944
VOXEL_45_114_134,114.042,0.111532,0.215357
VOXEL_45_114_135,111.674,0.0793025,0.286943
VOXEL_45_115_79,125.316,0.303365,0.014997
VOXEL_45_115_80,124.881,0.284449,0.0313937
VOXEL_45_115_106,125.036,0.30218,0.00919816
VOXEL_45_115_107,123.889,0.340664,0.0207958
VOXEL_45_115_125,122.541,0.289258,0.0327934
VOXEL_45_115_126,121.074,0.259414,0.0233953
VOXEL_45_115_134,116.779,0.15023,0.120776
VOXEL_45_115_135,111.057,0.0638296,0.323535
VOXEL_45_116_78,122.234,0.284473,0.0465907
VOXEL_45_116_79,127.063,0.3494,0.00659868
VOXEL_45_116_106,131.304,0.418669,0.00119976
VOXEL_45_116_125,116.918,0.1695,0.119176
VOXEL_45_116_126,117.195,0.177476,0.108978
VOXEL_45_116_134,115.141,0.125986,0.146171
VOXEL_45_116_135,114.282,0.117102,0.189162
VOXEL_45_117_78,118.312,0.19346,0.069986
VOXEL_45_117_82,124.697,0.280609,0.0079984
VOXEL_45_117_83,122.368,0.319528,0.0191962
VOXEL_45_117_84,124.07,0.294601,0.00919816
VOXEL_45_117_85,125.266,0.312178,0.00759848
VOXEL_45_117_105,135.292,0.479825,0.00119976
VOXEL_45_117_106,133.251,0.454138,0.00159968
VOXEL_45_117_124,121.489,0.240455,0.0513897
VOXEL_45_117_125,115.412,0.132195,0.166567
VOXEL_45_117_134,116.189,0.149135,0.128774
VOXEL_45_117_135,111.878,0.059412,0.270946
VOXEL_45_118_77,116.318,0.195241,0.115377
VOXEL_45_118_78,114.88,0.163438,0.158368
VOXEL_45_118_84,124.394,0.315259,0.0143971
VOXEL_45_118_104,126.715,0.28571,0.004999
VOXEL_45_118_105,131.527,0.394758,0.0009998
VOXEL_45_118_124,121.677,0.209559,0.0417916
VOXEL_45_118_125,121.006,0.201829,0.0459908
VOXEL_45_118_134,119.894,0.22698,0.0589882
VOXEL_45_118_135,109.817,0.0357041,0.367327
VOXEL_45_119_76,115.137,0.192332,0.176165
VOXEL_45_119_77,108.808,0.0309154,0.413517
VOXEL_45_119_104,127.062,0.211912,0.010198
VOXEL_45_119_124,123.542,0.258789,0.019796
VOXEL_45_119_134,116.664,0.163635,0.134373
VOXEL_45_119_135,122.626,0.251833,0.024995
VOXEL_45_120_75,111.052,0.0800657,0.329934
VOXEL_45_120_76,117.294,0.226713,0.0883823
VOXEL_45_120_103,112.254,0.0786941,0.280744
VOXEL_45_120_104,118.126,0.142576,0.0887822
VOXEL_45_120_123,120.637,0.185228,0.0209958
VOXEL_45_120_124,119.825,0.181977,0.0369926
VOXEL_45_120_134,115.352,0.114931,0.177564
VOXEL_45_120_135,119.844,0.24395,0.074985
VOXEL_45_121_75,109.902,0.0553099,0.35173
VOXEL_45_121_102,110.926,0.0614966,0.311738
VOXEL_45_121_123,120.729,0.168665,0.0275945
VOXEL_45_121_134,113.21,0.0938453,0.226355
VOXEL_45_122_74,109.091,0.0412227,0.411118
VOXEL_45_122_75,113.242,0.12387,0.213557
VOXEL_45_122_101,122.78,0.254827,0.0213957
VOXEL_45_122_102,110.079,0.0467009,0.347131
VOXEL_45_122_121,120.643,0.211596,0.0157968
VOXEL_45_122_122,127.34,0.300179,0.0029994
VOXEL_45_122_123,126.378,0.274347,0.00419916
VOXEL_45_122_134,110.554,0.0410951,0.314337
VOXEL_45_123_74,110.886,0.0764027,0.313137
VOXEL_45_123_75,110.583,0.0751651,0.338932
VOXEL_45_123_100,120.599,0.154269,0.034793
VOXEL_45_123_101,112.212,0.0653948,0.233353
VOXEL_45_123_121,120.944,0.182973,0.0209958
VOXEL_45_123_122,125.131,0.272892,0.00779844
VOXEL_45_123_133,113.953,0.109348,0.177165
VOXEL_45_123_134,110.321,0.0417992,0.326935
VOXEL_45_124_99,124.652,0.224139,0.0175965
VOXEL_45_124_100,117.998,0.154264,0.0641872
VOXEL_45_124_120,119.018,0.159501,0.0369926
VOXEL_45_124_121,120.396,0.170811,0.025195
VOXEL_45_124_133,126.88,0.426898,0.0319936
VOXEL_45_124_134,115.195,0.124851,0.126575
VOXEL_45_125_98,123.913,0.309321,0.0133973
VOXEL_45_125_99,130.686,0.375587,0.00119976
VOXEL_45_125_119,128.274,0.292865,0.0019996
VOXEL_45_125_120,124.387,0.228797,0.00559888
VOXEL_45_125_135,126.093,0.352101,0.0321936
VOXEL_45_126_73,111.695,0.109154,0.307738
VOXEL_45_126_74,110.271,0.0796952,0.364127
VOXEL_45_126_96,122.375,0.307706,0.0121976
VOXEL_45_126_97,122.265,0.327046,0.034993
VOXEL_45_126_98,128.119,0.325179,0.0019996
VOXEL_45_126_119,128.656,0.286347,0.00439912
VOXEL_45_126_133,116.161,0.172411,0.184963
VOXEL_45_127_73,110.479,0.0713679,0.34833
VOXEL_45_127_95,124.362,0.335545,0.00739852
VOXEL_45_127_96,126.961,0.387548,0.00459908
VOXEL_45_127_97,124.658,0.351137,0.00879824
VOXEL_45_127_118,128.559,0.392508,0.010198
VOXEL_45_127_119,128.233,0.323063,0.00759848
VOXEL_45_128_69,109.114,0.032849,0.390522
VOXEL_45_128_72,115.625,0.161849,0.166167
VOXEL_45_128_73,120.136,0.273894,0.074785
VOXEL_45_128_74,111.193,0.0871141,0.284343
VOXEL_45_128_93,119.467,0.262301,0.0587882
VOXEL_45_128_94,120.236,0.282626,0.0393921
VOXEL_45_128_95,126.062,0.424903,0.00939812
VOXEL_45_128_117,118.875,0.271584,0.0781844
VOXEL_45_128_118,123.29,0.358516,0.034993
VOXEL_45_129_65,110.242,0.0482837,0.336133
VOXEL_45_129_70,112.18,0.0912694,0.247351
VOXEL_45_129_71,112.411,0.0788814,0.227754
VOXEL_45_129_72,111.823,0.0886184,0.254949
VOXEL_45_129_73,113.281,0.122134,0.223155
VOXEL_45_129_75,124.151,0.347468,0.0159968
VOXEL_45_129_92,110.98,0.0770494,0.306339
VOXEL_45_129_93,114.227,0.157729,0.171366
VOXEL_45_129_94,118.278,0.223501,0.0821836
VOXEL_45_129_117,118.606,0.244734,0.0575885
VOXEL_45_130_62,126.056,0.300142,0.00139972
VOXEL_45_130_63,125.159,0.346269,0.00259948
VOXEL_45_130_64,113.985,0.111964,0.171766
VOXEL_45_130_65,116.217,0.17492,0.122775
VOXEL_45_130_70,110.899,0.0596483,0.303939
VOXEL_45_130_72,113.018,0.0719333,0.207958
VOXEL_45_130_73,110.296,0.0361456,0.343731
VOXEL_45_130_75,116.289,0.223593,0.114777
VOXEL_45_130_76,115.207,0.177926,0.168166
VOXEL_45_130_78,114.476,0.130383,0.138972
VOXEL_45_130_79,113.443,0.0954521,0.193161
VOXEL_45_130_80,116.106,0.14987,0.158968
VOXEL_45_130_87,108.359,0.0155173,0.434513
VOXEL_45_130_91,107.744,0.00352674,0.455909
VOXEL_45_130_92,110.954,0.0498755,0.304739
VOXEL_45_130_116,109.459,0.0377909,0.369726
VOXEL_45_131_62,112.643,0.0987427,0.183563
VOXEL_45_131_63,114.216,0.119883,0.159368
VOXEL_45_131_64,120.71,0.216701,0.0523895
VOXEL_45_131_65,120.911,0.225904,0.0903819
VOXEL_45_131_67,113.544,0.108015,0.206759
VOXEL_45_131_70,106.441,0,1
VOXEL_45_131_81,110.225,0.0625071,0.339932
VOXEL_45_131_82,112.013,0.105826,0.276145
VOXEL_45_131_83,117.516,0.23339,0.0907818
VOXEL_45_131_84,109.448,0.0407913,0.384123
VOXEL_45_131_85,115.199,0.130981,0.143371
VOXEL_45_131_86,116.873,0.131964,0.115177
VOXEL_45_131_113,121.713,0.279802,0.0235953
VOXEL_45_131_114,112.508,0.102027,0.221556
VOXEL_45_131_115,109.814,0.0490923,0.340732
VOXEL_45_132_62,120.978,0.286332,0.009998
VOXEL_45_132_63,122.138,0.328,0.0291942
VOXEL_45_132_64,131.029,0.387835,0.0103979
VOXEL_45_132_65,132.738,0.301925,0.0181964
VOXEL_45_132_67,117.427,0.158784,0.0721856
VOXEL_45_132_68,114.354,0.090798,0.140972
VOXEL_45_132_112,126.801,0.42849,0.00559888
VOXEL_45_132_113,123.92,0.351944,0.0109978
VOXEL_45_132_114,118.434,0.225428,0.0617876
VOXEL_45_133_64,113.874,0.131799,0.277145
VOXEL_45_133_67,124.392,0.116101,0.0163967
VOXEL_45_133_111,127.211,0.351659,0.00239952
VOXEL_45_133_112,124.383,0.340911,0.0115977
VOXEL_45_133_113,126.007,0.398659,0.00559888
VOXEL_45_134_110,119.743,0.203713,0.0329934
VOXEL_45_134_111,120.117,0.201765,0.0277944
VOXEL_45_134_112,123.376,0.282646,0.00859828
VOXEL_45_135_109,119.222,0.221219,0.0469906
VOXEL_45_135_110,119.356,0.208435,0.0429914
VOXEL_45_135_111,121.619,0.233628,0.0127974
VOXEL_45_136_108,122.615,0.305048,0.0273945
VOXEL_45_136_109,124.368,0.323302,0.0165967
VOXEL_45_136_110,122.019,0.282135,0.024995
VOXEL_45_136_112,127.184,0.231993,0.00279944
VOXEL_45_137_80,108.374,0.0171258,0.433913
VOXEL_45_137_108,122.74,0.281521,0.0289942
VOXEL_45_137_109,123.146,0.267873,0.0269946
VOXEL_45_138_79,112.886,0.10196,0.210158
VOXEL_45_138_80,107.776,0.00666273,0.461108
VOXEL_45_138_81,126.504,0.395019,0.0059988
VOXEL_45_138_107,125.886,0.342436,0.014797
VOXEL_45_138_108,130.379,0.436125,0.00379924
VOXEL_45_139_79,114.266,0.149969,0.152769
VOXEL_45_139_80,112.432,0.104993,0.216757
VOXEL_45_140_85,108.296,0.0180902,0.45011
VOXEL_45_140_88,109.456,0.0334503,0.380724
VOXEL_45_141_111,117.01,0.140002,0.137972
VOXEL_45_141_112,116.201,0.0924278,0.186363
VOXEL_45_142_96,118.843,0.159696,0.0685863
VOXEL_45_142_97,120.793,0.217463,0.0569886
VOXEL_45_142_98,117.212,0.175346,0.0859828
VOXEL_45_142_111,121.159,0.193108,0.0525895
VOXEL_45_142_112,107.851,0.00377038,0.475105
VOXEL_45_142_119,116.206,0.131865,0.104379
VOXEL_45_143_86,107.862,0.00584935,0.466307
VOXEL_45_143_94,108.923,0.0317578,0.410718
VOXEL_45_143_95,111.943,0.0904555,0.258548
VOXEL_45_143_97,112.274,0.0774229,0.223955
VOXEL_45_143_111,112.608,0.081666,0.254149
VOXEL_45_143_112,123.169,0.266335,0.0227954
VOXEL_45_143_115,119.3,0.178301,0.0493901
VOXEL_45_143_118,123.474,0.214558,0.0127974
VOXEL_45_143_119,118.943,0.177594,0.0667866
VOXEL_45_143_120,112.63,0.0972241,0.223355
VOXEL_45_144_87,115.153,0.138249,0.138172
VOXEL_45_144_92,110.312,0.0607334,0.330934
VOXEL_45_144_94,108.055,0.0130801,0.456509
VOXEL_45_144_95,108.879,0.0295626,0.396921
VOXEL_45_144_111,118.768,0.230549,0.0583883
VOXEL_45_144_112,118.784,0.196037,0.044791
VOXEL_45_144_114,114.912,0.117429,0.185363
VOXEL_45_144_115,109.521,0.0292107,0.386323
VOXEL_45_144_118,123.762,0.244974,0.00679864
VOXEL_45_144_119,129.819,0.326271,0.00119976
VOXEL_45_144_120,119.185,0.137529,0.0665867
VOXEL_45_145_77,111.196,0.0587807,0.290342
VOXEL_45_145_86,114.18,0.1438,0.136573
VOXEL_45_145_111,118.901,0.231457,0.0371926
VOXEL_45_145_112,123.248,0.325052,0.010198
VOXEL_45_145_113,111.568,0.08532,0.287942
VOXEL_45_145_114,110.497,0.051445,0.324135
VOXEL_45_145_115,109.893,0.040288,0.364727
VOXEL_45_146_77,110.148,0.0398045,0.354929
VOXEL_45_146_78,111.579,0.0586038,0.287542
VOXEL_45_146_85,110.098,0.0358737,0.340532
VOXEL_45_146_86,113.185,0.0932464,0.211358
VOXEL_45_146_90,110.082,0.0412772,0.341932
VOXEL_45_146_93,107.63,0.00238974,0.469506
VOXEL_45_146_100,117.085,0.155,0.075185
VOXEL_45_146_114,113.329,0.0965188,0.20156
VOXEL_45_146_115,114.88,0.117608,0.132773
VOXEL_45_146_116,117.956,0.188423,0.0765847
VOXEL_45_147_100,110.438,0.0582239,0.30234
VOXEL_45_147_101,113.095,0.116457,0.181164
VOXEL_45_147_116,122.747,0.269093,0.020196
VOXEL_45_147_117,111.759,0.0833237,0.264547
VOXEL_45_151_113,111.621,0.0710164,0.25175
VOXEL_46_61_101,117.131,0.193979,0.0787842
VOXEL_46_61_102,117.449,0.198219,0.0871826
VOXEL_46_61_103,119.104,0.203702,0.0591882
VOXEL_46_62_100,115.711,0.178541,0.121576
VOXEL_46_62_101,118.545,0.239266,0.0661868
VOXEL_46_63_99,120.711,0.259843,0.0555889
VOXEL_46_64_98,126.989,0.323133,0.00279944
VOXEL_46_64_102,107.452,0,1
VOXEL_46_64_106,109.214,0.0327857,0.377524
VOXEL_46_64_107,113.759,0.102441,0.171766
VOXEL_46_65_97,127.224,0.400252,0.00639872
VOXEL_46_65_99,113.197,0.095564,0.175365
VOXEL_46_65_100,107.986,0.00819223,0.45211
VOXEL_46_65_101,106.693,0,1
VOXEL_46_65_102,110.934,0.0695797,0.282743
VOXEL_46_65_103,110.697,0.0686912,0.292142
VOXEL_46_65_108,112.756,0.0989391,0.229754
VOXEL_46_66_96,116.022,0.177086,0.115577
VOXEL_46_66_97,118.449,0.15272,0.0615877
VOXEL_46_66_98,121.476,0.198497,0.0265947
VOXEL_46_66_99,121.571,0.205016,0.0305939
VOXEL_46_66_100,114.537,0.105679,0.130374
VOXEL_46_66_101,114.878,0.118154,0.121576
VOXEL_46_66_102,118.361,0.195322,0.0545891
VOXEL_46_67_93,119.6,0.236586,0.0575885
VOXEL_46_67_94,109.42,0.0414442,0.374125
VOXEL_46_67_97,114.28,0.120045,0.159768
VOXEL_46_67_98,119.562,0.170524,0.0433913
VOXEL_46_67_99,116.528,0.122745,0.0925815
VOXEL_46_68_92,121.363,0.28109,0.0387922
VOXEL_46_68_93,110.852,0.0699479,0.30054
VOXEL_46_68_94,108.674,0.027271,0.415317
VOXEL_46_68_97,111.788,0.0896232,0.271746
VOXEL_46_68_98,108.197,0.0137874,0.442911
VOXEL_46_69_91,111.768,0.102742,0.311138
VOXEL_46_69_92,117.803,0.240396,0.0987802
VOXEL_46_69_93,108.348,0.0177974,0.444911
VOXEL_46_69_96,110.077,0.054409,0.338532
VOXEL_46_69_99,109.375,0.0422072,0.396521
VOXEL_46_70_91,110.655,0.0586658,0.321736
VOXEL_46_70_92,125.748,0.320373,0.0271946
VOXEL_46_70_93,117.158,0.202836,0.0925815
VOXEL_46_70_97,112.733,0.116134,0.225555
VOXEL_46_70_98,111.874,0.0992657,0.281144
VOXEL_46_70_99,109.792,0.0518414,0.387522
VOXEL_46_71_90,116.255,0.149847,0.123375
VOXEL_46_71_91,117.59,0.183168,0.0887822
VOXEL_46_71_97,115.225,0.158468,0.137972
VOXEL_46_71_98,114.173,0.137991,0.194361
VOXEL_46_71_99,112.958,0.119945,0.260348
VOXEL_46_72_90,110.481,0.0416421,0.323935
VOXEL_46_72_91,112.337,0.0670945,0.231354
VOXEL_46_72_98,112.953,0.0963501,0.245551
VOXEL_46_72_99,114.825,0.136437,0.206559
VOXEL_46_73_89,113.126,0.0818975,0.194761
VOXEL_46_73_90,108.187,0.0119239,0.44891
VOXEL_46_73_99,113.685,0.0920561,0.223155
VOXEL_46_74_89,116.835,0.127452,0.119176
